user_id,signup_date,user_segment,variant_group
1,2025-09-21,student,control
2,2025-09-04,career_changer,control
3,2025-09-01,professional,treatment
4,2025-09-24,professional,control
5,2025-09-09,student,treatment
6,2025-09-08,student,control
7,2025-09-08,student,treatment
8,2025-09-05,career_changer,treatment
9,2025-09-24,professional,control
10,2025-09-04,professional,control
11,2025-09-22,student,control
12,2025-09-24,career_changer,treatment
13,2025-09-29,career_changer,treatment
14,2025-09-18,student,treatment
15,2025-09-03,student,control
16,2025-09-19,student,control
17,2025-09-14,student,control
18,2025-09-02,professional,control
19,2025-09-01,student,treatment
20,2025-09-03,student,treatment
21,2025-09-07,professional,treatment
22,2025-09-08,student,control
23,2025-09-17,student,treatment
24,2025-09-20,student,treatment
25,2025-09-01,student,treatment
26,2025-09-18,professional,treatment
27,2025-09-07,student,control
28,2025-09-23,professional,control
29,2025-09-21,professional,treatment
30,2025-09-23,student,control
31,2025-09-18,professional,control
32,2025-09-14,student,treatment
33,2025-09-08,student,treatment
34,2025-09-15,career_changer,treatment
35,2025-09-19,career_changer,control
36,2025-09-09,career_changer,control
37,2025-09-26,student,treatment
38,2025-09-28,student,treatment
39,2025-09-01,professional,treatment
40,2025-09-25,student,treatment
41,2025-09-26,student,treatment
42,2025-09-06,student,treatment
43,2025-09-23,student,control
44,2025-09-14,career_changer,treatment
45,2025-09-11,student,treatment
46,2025-09-09,professional,treatment
47,2025-09-05,student,control
48,2025-09-07,professional,treatment
49,2025-10-01,professional,control
50,2025-09-25,student,treatment
51,2025-09-11,career_changer,control
52,2025-09-04,professional,treatment
53,2025-09-03,career_changer,control
54,2025-09-13,career_changer,control
55,2025-09-04,professional,control
56,2025-09-12,career_changer,treatment
57,2025-09-28,student,control
58,2025-09-12,student,control
59,2025-09-20,student,treatment
60,2025-09-09,student,control
61,2025-09-26,student,treatment
62,2025-09-02,student,treatment
63,2025-09-24,career_changer,treatment
64,2025-09-15,student,control
65,2025-09-18,student,treatment
66,2025-09-04,professional,control
67,2025-09-30,student,control
68,2025-09-13,career_changer,control
69,2025-09-03,student,treatment
70,2025-09-18,career_changer,control
71,2025-09-10,professional,treatment
72,2025-09-27,student,treatment
73,2025-09-21,student,control
74,2025-09-20,career_changer,control
75,2025-09-29,professional,treatment
76,2025-09-28,professional,treatment
77,2025-09-12,professional,treatment
78,2025-09-19,student,control
79,2025-09-07,student,control
80,2025-09-23,student,control
81,2025-09-03,career_changer,control
82,2025-09-02,professional,control
83,2025-09-22,student,treatment
84,2025-09-08,student,control
